[09/Mar/2023 06:16:48] INFO [django.utils.autoreload:677] Watching for file changes with StatReloader
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/al1mardan/Desktop/my_projects/agatos/templates with glob **/*.
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/al1mardan/Desktop/my_projects/agatos/locale with glob **/*.mo.
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/al1mardan/Desktop/my_projects/agatos/main/locale with glob **/*.mo.
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/_virtualenv.py first seen with mtime 1678171102.9571354
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/message.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/functions/window.py first seen with mtime 1678171119.4083238
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/_parseaddr.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/__init__.py first seen with mtime 1678171118.8556266
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/checks/database.py first seen with mtime 1678171119.3814788
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/template/loader.py first seen with mtime 1678171119.42708
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/main/admin.py first seen with mtime 1678171162.9612336
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/checks/messages.py first seen with mtime 1678171119.381706
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/mimetypes.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/linecache.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/asgiref/current_thread_executor.py first seen with mtime 1678171118.8259833
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/wsgi.py first seen with mtime 1678171119.3796964
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/codecs.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/numbers.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/backends/base/validation.py first seen with mtime 1678171119.3945718
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/query.py first seen with mtime 1678171119.4048908
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/forms/__init__.py first seen with mtime 1678171119.4103224
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/itercompat.py first seen with mtime 1678171119.435411
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/serializers/python.py first seen with mtime 1678171119.3916838
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/platform.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/admin/checks.py first seen with mtime 1678171118.921241
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/paginator.py first seen with mtime 1678171119.3791745
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/template/backends/base.py first seen with mtime 1678171119.4279883
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/abc.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/agatos_configs/urls.py first seen with mtime 1678175758.636274
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_heapq.cpython-310-darwin.so first seen with mtime 1642103861.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/migrations/operations/special.py first seen with mtime 1678171119.4026122
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1678171119.0155132
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1678171118.8061125
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1678171119.4357574
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/exceptions.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/cache/utils.py first seen with mtime 1678171119.3799498
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/os.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/sqlparse/formatter.py first seen with mtime 1678171118.8062363
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1678171119.4292548
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_sitebuiltins.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_statistics.cpython-310-darwin.so first seen with mtime 1642103863.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/agatos_configs/__init__.py first seen with mtime 1678171145.1510825
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1678171119.0930138
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/urllib/request.py first seen with mtime 1642103621.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1678171118.9214854
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/fcntl.cpython-310-darwin.so first seen with mtime 1642103865.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_sysconfigdata__darwin_darwin.py first seen with mtime 1642103641.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1678171118.8074436
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/base.py first seen with mtime 1678171119.4031758
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/importlib/__init__.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/serializers/__init__.py first seen with mtime 1678171119.3911715
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/apps/config.py first seen with mtime 1678171118.8561313
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_compression.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/utils.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_queue.cpython-310-darwin.so first seen with mtime 1642103862.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1678171119.0933077
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/backends/base/creation.py first seen with mtime 1678171119.3937082
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/middleware/cache.py first seen with mtime 1678171119.4243393
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/asgiref/__init__.py first seen with mtime 1678171118.8257122
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/log.py first seen with mtime 1678171119.43564
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1678171119.246357
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/sqlparse/filters/output.py first seen with mtime 1678171118.8079119
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/charset.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/auth/signals.py first seen with mtime 1678171119.0545752
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/template/defaultfilters.py first seen with mtime 1678171119.4262648
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/urls/__init__.py first seen with mtime 1678171119.4313567
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1678171119.399353
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/functions/__init__.py first seen with mtime 1678171119.4075048
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/_header_value_parser.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/dataclasses.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/bisect.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/sites/requests.py first seen with mtime 1678171119.343771
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/translation/reloader.py first seen with mtime 1678171119.437351
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/genericpath.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/logging/handlers.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/quopri.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/http/cookie.py first seen with mtime 1678171119.4235308
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/deconstruct.py first seen with mtime 1678171119.4338593
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/zoneinfo/_common.py first seen with mtime 1642103621.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/asgiref/sync.py first seen with mtime 1678171118.8264809
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1678171119.402323
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/utils.py first seen with mtime 1678171119.4053128
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/__init__.py first seen with mtime 1678171118.9205961
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/glob.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/pickle.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/hashable.py first seen with mtime 1678171119.4348326
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/deprecation.py first seen with mtime 1678171119.4340818
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/checks/caches.py first seen with mtime 1678171119.3813686
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/conf/urls/__init__.py first seen with mtime 1678171118.9201996
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/auth/backends.py first seen with mtime 1678171119.0527256
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/agatos_configs/settings.py first seen with mtime 1678342577.7666233
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/safestring.py first seen with mtime 1678171119.4362142
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/base64.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/enum.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1678171119.0538237
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/utils.py first seen with mtime 1678171119.3926349
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/sslproto.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/importlib/util.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/unicodedata.cpython-310-darwin.so first seen with mtime 1642103866.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/auth/forms.py first seen with mtime 1678171119.0536435
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_sha512.cpython-310-darwin.so first seen with mtime 1642103863.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/views/decorators/debug.py first seen with mtime 1678171119.4390066
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_datetime.cpython-310-darwin.so first seen with mtime 1642103860.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1678171119.377554
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/fields/json.py first seen with mtime 1678171119.4060256
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/formats.py first seen with mtime 1678171119.4345849
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/fractions.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/servers/basehttp.py first seen with mtime 1678171119.3922188
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/transaction.py first seen with mtime 1678171119.3924983
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1678171119.3994663
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/wsgiref/util.py first seen with mtime 1642103621.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/template/utils.py first seen with mtime 1678171119.427724
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/json/decoder.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/heapq.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/copy.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1678171119.4352174
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1678171119.377434
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/views/generic/list.py first seen with mtime 1678171119.4401379
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/sqlparse/tokens.py first seen with mtime 1678171118.8067853
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/auth/admin.py first seen with mtime 1678171119.0524619
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_bisect.cpython-310-darwin.so first seen with mtime 1642103858.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/cache/__init__.py first seen with mtime 1678171119.3798435
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/handlers/wsgi.py first seen with mtime 1678171119.3851016
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/runners.py first seen with mtime 1642103620.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/admin/actions.py first seen with mtime 1678171118.9209108
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/http/multipartparser.py first seen with mtime 1678171119.4237208
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/main/models.py first seen with mtime 1678171162.9621532
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/db/models/functions/math.py first seen with mtime 1678171119.4079368
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/sqlparse/engine/grouping.py first seen with mtime 1678171118.807329
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/contrib/admin/helpers.py first seen with mtime 1678171118.9219246
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/files/move.py first seen with mtime 1678171119.3837094
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/core/checks/security/csrf.py first seen with mtime 1678171119.3829346
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/datetime.py first seen with mtime 1642103619.0
[09/Mar/2023 06:16:48] DEBUG [django.utils.autoreload:394] File /Users/al1mardan/Desktop/my_projects/agatos/venv/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1678171119.4115107
